,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
0,CONFIRMED,9.48803557,0.146,2.9575,615.8,0.022344,3.20796,2.26,0.0853,89.66,793.0,93.59,24.81,35.8,5455.0,4.467,0.14,0.927,0.919
1,CONFIRMED,54.4183827,0.586,4.507,874.8,0.027954000000000003,3.02368,2.83,0.2734,89.57,443.0,9.11,77.9,25.8,5455.0,4.467,0.14,0.927,0.919
2,CANDIDATE,19.89913995,0.969,1.7822,10829.0,0.15404600000000002,7.29555,14.6,0.1419,88.96,638.0,39.3,53.5,76.3,5853.0,4.544,-0.18,0.868,0.961
3,FALSE POSITIVE,1.7369524530000002,1.276,2.4064099999999997,8079.2,0.387394,0.2208,33.46,0.0267,67.09,1395.0,891.96,3.278,505.6,5805.0,4.564,-0.52,0.791,0.836
4,CONFIRMED,2.525591777,0.701,1.6545,603.3,0.024064,1.98635,2.75,0.0374,85.41,1406.0,926.16,8.75,40.9,6031.0,4.438,0.07,1.046,1.095
5,CONFIRMED,11.09432054,0.538,4.5945,1517.5,0.036779,0.67324,3.9,0.0992,88.11,835.0,114.81,16.36,66.5,6046.0,4.486000000000001,-0.08,0.972,1.053
6,CONFIRMED,4.13443512,0.762,3.1402,686.0,0.026133,0.37377,2.77,0.0514,83.72,1160.0,427.65,6.96,40.2,6046.0,4.486000000000001,-0.08,0.972,1.053
7,CONFIRMED,2.56658897,0.755,2.429,226.5,0.014983000000000002,0.48908999999999997,1.59,0.0374,82.17,1360.0,807.74,5.54,15.0,6046.0,4.486000000000001,-0.08,0.972,1.053
8,FALSE POSITIVE,7.36178958,1.169,5.022,233.7,0.183387,0.00485,39.21,0.082,60.92,1342.0,767.22,2.4,47.7,6227.0,3.986,0.0,1.958,1.358
9,CONFIRMED,16.06864674,0.052,3.5347,4914.3,0.062161,3.6659,5.76,0.1158,89.92,600.0,30.75,36.85,161.9,5031.0,4.485,0.16,0.848,0.801
